symbol,name,category
STLNETWORK,STL Networks Ltd,smallcap
SIRCA,Sirca Paints India Ltd,smallcap
TATAELXSI,Tata Elxsi Limited,smallcap
CASTROLIND,Castrol India Limited,smallcap
POWERICA,Powerica Ltd,smallcap
JUNIPER,Juniper Hotels Ltd,smallcap
GMMPFAUDLR,GMM Pfaudler Ltd,smallcap
MONARCH,Monarch Networth Capital Ltd,smallcap
SONATSOFTW,Sonata Software Limited,smallcap
JUSTDIAL,Just Dial Limited,smallcap
FIVESTAR,Five-Star Business Finance Ltd,smallcap
NAZARA,Nazara Technologies Ltd,smallcap
NCC,Ncc Limited,smallcap
SERVOTECH,Servotech Power Systems Ltd,smallcap
SARDAEN,Sarda Energy & Minerals Limited,smallcap
FUSION,Fusion Micro Finance Ltd,smallcap
AEROENTER,Aeroflex Enterprises Ltd,smallcap
PNBHOUSING,Pnb Housing Finance Limited,smallcap
MVELECTRO,MV Electrosystems Ltd,smallcap
BLISSGVS,Bliss Gvs Pharma Limited,smallcap
PCBL,PCBL Ltd,smallcap
PROZONER,Prozone Realty Ltd,smallcap
TARC,Tarc Ltd,smallcap
CREDITACC,CreditAccess Grameen Ltd,smallcap
TARIL,Transformers & Rectifiers India Ltd,smallcap
MUFIN,Mufin Green Finance Ltd,smallcap
DIGITIDE,Digitide Solutions Ltd,smallcap
CHOICEIN,Choice International Ltd,smallcap
SIGMAADV,Sigma Advanced System Ltd,smallcap
RAJRATAN,Rajratan Global Wire Ltd,smallcap
KIRIINDUS,Kiri Industries Limited,smallcap
SHINDL,Sharat Industries Ltd,smallcap
ARIHANTCAP,Arihant Capital Markets Ltd,smallcap
GRWRHITECH,Garware Hi Tech Films Ltd,smallcap
UNIMECH,Unimech Aerospace and Manufacturing Ltd,smallcap
63MOONS,63 Moons Technologies Ltd,smallcap
CESC,Cesc Limited,smallcap
ORIENTCEM,Orient Cement Limited,smallcap
AURIONPRO,Aurionpro Solutions Limited,smallcap
AWHCL,Antony Waste Handling Cell Ltd,smallcap
VGUARD,V-guard Industries Limited,smallcap
TARSONS,Tarsons Products Ltd,smallcap
AETHER,Aether Industries Ltd,smallcap
